Sample in Buffer,Sample in Window,TRIGGER,CLK_SEQ/ADC_IN[7:0],CLK_SEQ/trigger_threshold[3:0],CLK_SEQ/pxl_addr_next[31:0],CLK_SEQ/adc_val_prev_frame[7:0],CLK_SEQ/diff[7:0],CLK_SEQ/adc_in_buf_2[7:0],CLK_SEQ/pxl_addr[31:0],CLK_SEQ/TRIGGER_OUT
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,106,3,4789,126,-1,126,4788,0
1,1,0,123,3,4790,106,0,106,4789,0
2,2,0,110,3,4791,123,0,123,4790,0
3,3,0,102,3,4792,110,0,110,4791,0
4,4,0,119,3,4793,102,0,102,4792,0
5,5,0,121,3,4794,119,0,119,4793,0
6,6,0,104,3,4795,121,0,121,4794,0
7,7,0,115,3,4796,104,0,104,4795,0
8,8,0,120,3,4797,114,0,115,4796,0
9,9,0,98,3,4798,120,-1,120,4797,0
10,10,0,119,3,4799,98,0,98,4798,0
11,11,0,113,3,4800,119,0,119,4799,0
12,12,0,100,3,4801,112,0,113,4800,0
13,13,0,107,3,4802,100,-1,100,4801,0
14,14,0,121,3,4803,107,0,107,4802,0
15,15,0,116,3,4804,121,0,121,4803,0
16,16,0,105,3,4805,115,0,116,4804,0
17,17,0,120,3,4806,105,-1,105,4805,0
18,18,0,115,3,4807,120,0,120,4806,0
19,19,0,110,3,4808,116,0,115,4807,0
20,20,0,113,3,4809,110,1,110,4808,0
21,21,0,104,3,4810,112,0,113,4809,0
22,22,0,113,3,4811,105,-1,104,4810,0
23,23,0,117,3,4812,113,1,113,4811,0
24,24,0,125,3,4813,116,0,117,4812,0
25,25,0,121,3,4814,125,-1,125,4813,0
26,26,0,107,3,4815,121,0,121,4814,0
27,27,0,110,3,4816,106,0,107,4815,0
28,28,0,96,3,4817,109,-1,110,4816,0
29,29,0,113,3,4818,95,-1,96,4817,0
30,30,0,117,3,4819,112,-1,113,4818,0
31,31,0,116,3,4820,117,-1,117,4819,0
32,32,0,117,3,4821,116,0,116,4820,0
33,33,0,118,3,4822,116,0,117,4821,0
34,34,0,115,3,4823,118,-1,118,4822,0
