Sample in Buffer,Sample in Window,TRIGGER,CLK_SEQ/ADC_IN[7:0],CLK_SEQ/trigger_threshold[3:0],CLK_SEQ/pxl_addr_next[31:0],CLK_SEQ/adc_val_prev_frame[7:0],CLK_SEQ/diff[7:0],CLK_SEQ/adc_in_buf_2[7:0],CLK_SEQ/pxl_addr[31:0],CLK_SEQ/TRIGGER_OUT
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,116,3,2688,115,0,115,2687,0
1,1,0,126,3,2689,116,0,116,2688,0
2,2,0,116,3,2690,126,0,126,2689,0
3,3,0,109,3,2691,115,0,116,2690,0
4,4,0,128,3,2692,108,-1,109,2691,0
5,5,0,116,3,2693,128,-1,128,2692,0
6,6,0,124,3,2694,116,0,116,2693,0
7,7,0,123,3,2695,123,0,124,2694,0
8,8,0,117,3,2696,123,-1,123,2695,0
9,9,0,111,3,2697,117,0,117,2696,0
10,10,0,114,3,2698,111,0,111,2697,0
11,11,0,109,3,2699,114,0,114,2698,0
12,12,0,102,3,2700,109,0,109,2699,0
13,13,0,109,3,2701,102,0,102,2700,0
14,14,0,112,3,2702,109,0,109,2701,0
15,15,0,116,3,2703,112,0,112,2702,0
16,16,0,110,3,2704,117,0,116,2703,0
17,17,0,121,3,2705,110,1,110,2704,0
18,18,0,119,3,2706,121,0,121,2705,0
19,19,0,129,3,2707,119,0,119,2706,0
20,20,0,120,3,2708,129,0,129,2707,0
21,21,0,125,3,2709,120,0,120,2708,0
22,22,0,117,3,2710,126,0,125,2709,0
23,23,0,125,3,2711,117,1,117,2710,0
24,24,0,124,3,2712,124,0,125,2711,0
25,25,0,126,3,2713,124,-1,124,2712,0
26,26,0,113,3,2714,126,0,126,2713,0
27,27,0,122,3,2715,113,0,113,2714,0
28,28,0,117,3,2716,122,0,122,2715,0
29,29,0,125,3,2717,117,0,117,2716,0
30,30,0,125,3,2718,125,0,125,2717,0
31,31,1,129,3,2719,125,0,125,2718,0
32,32,0,128,3,2720,129,0,129,2719,0
33,33,0,121,3,2721,129,0,128,2720,0
34,34,0,123,3,2722,121,1,121,2721,0
35,35,0,106,3,2723,123,0,123,2722,0
36,36,0,132,3,2724,106,0,106,2723,0
37,37,0,115,3,2725,132,0,132,2724,0
38,38,0,125,3,2726,115,0,115,2725,0
39,39,0,109,3,2727,125,0,125,2726,0
40,40,0,113,3,2728,109,0,109,2727,0
41,41,0,121,3,2729,113,0,113,2728,0
42,42,0,118,3,2730,121,0,121,2729,0
43,43,0,123,3,2731,118,0,118,2730,0
44,44,0,129,3,2732,123,0,123,2731,0
45,45,0,111,3,2733,130,0,129,2732,0
46,46,0,109,3,2734,111,1,111,2733,0
47,47,0,99,3,2735,109,0,109,2734,0
48,48,0,124,3,2736,99,0,99,2735,0
49,49,0,124,3,2737,124,0,124,2736,0
50,50,0,103,3,2738,123,0,124,2737,0
51,51,0,122,3,2739,104,-1,103,2738,0
52,52,0,127,3,2740,122,1,122,2739,0
53,53,0,119,3,2741,128,0,127,2740,0
54,54,0,125,3,2742,119,1,119,2741,0
55,55,0,110,3,2743,126,0,125,2742,0
56,56,0,126,3,2744,110,1,110,2743,0
57,57,0,119,3,2745,126,0,126,2744,0
58,58,0,119,3,2746,119,0,119,2745,0
59,59,0,117,3,2747,118,0,119,2746,0
60,60,0,122,3,2748,117,-1,117,2747,0
61,61,0,113,3,2749,122,0,122,2748,0
62,62,0,125,3,2750,113,0,113,2749,0
63,63,0,120,3,2751,125,0,125,2750,0
64,64,0,126,3,2752,120,0,120,2751,0
65,65,0,98,3,2753,127,0,126,2752,0
66,66,0,118,3,2754,98,1,98,2753,0
67,67,0,114,3,2755,118,0,118,2754,0
68,68,0,118,3,2756,114,0,114,2755,0
69,69,0,127,3,2757,119,0,118,2756,0
70,70,0,112,3,2758,127,1,127,2757,0
71,71,0,122,3,2759,112,0,112,2758,0
72,72,0,124,3,2760,122,0,122,2759,0
73,73,0,116,3,2761,124,0,124,2760,0
74,74,0,124,3,2762,116,0,116,2761,0
75,75,0,111,3,2763,123,0,124,2762,0
76,76,0,123,3,2764,111,-1,111,2763,0
77,77,0,111,3,2765,122,0,123,2764,0
78,78,0,111,3,2766,111,-1,111,2765,0
79,79,0,113,3,2767,111,0,111,2766,0
80,80,0,116,3,2768,114,0,113,2767,0
81,81,0,119,3,2769,116,1,116,2768,0
82,82,0,116,3,2770,119,0,119,2769,0
83,83,0,132,3,2771,115,0,116,2770,0
84,84,0,112,3,2772,133,-1,132,2771,0
85,85,0,124,3,2773,112,1,112,2772,0
86,86,0,112,3,2774,124,0,124,2773,0
87,87,0,113,3,2775,112,0,112,2774,0
88,88,0,125,3,2776,113,0,113,2775,0
89,89,0,120,3,2777,126,0,125,2776,0
90,90,0,123,3,2778,120,1,120,2777,0
91,91,0,113,3,2779,123,0,123,2778,0
92,92,0,128,3,2780,113,0,113,2779,0
93,93,0,105,3,2781,128,0,128,2780,0
94,94,0,120,3,2782,105,0,105,2781,0
95,95,0,117,3,2783,120,0,120,2782,0
96,96,0,120,3,2784,118,0,117,2783,0
97,97,0,123,3,2785,120,1,120,2784,0
98,98,0,116,3,2786,123,0,123,2785,0
99,99,0,107,3,2787,116,0,116,2786,0
100,100,0,106,3,2788,107,0,107,2787,0
101,101,0,125,3,2789,106,0,106,2788,0
102,102,0,118,3,2790,125,0,125,2789,0
103,103,0,118,3,2791,118,0,118,2790,0
104,104,0,124,3,2792,118,0,118,2791,0
105,105,0,119,3,2793,124,0,124,2792,0
106,106,0,116,3,2794,120,0,119,2793,0
107,107,0,116,3,2795,116,1,116,2794,0
108,108,0,115,3,2796,116,0,116,2795,0
109,109,0,116,3,2797,116,0,115,2796,0
110,110,0,108,3,2798,116,1,116,2797,0
111,111,0,120,3,2799,108,0,108,2798,0
112,112,0,111,3,2800,120,0,120,2799,0
113,113,0,123,3,2801,111,0,111,2800,0
114,114,0,121,3,2802,123,0,123,2801,0
115,115,0,129,3,2803,121,0,121,2802,0
116,116,0,120,3,2804,129,0,129,2803,0
117,117,0,118,3,2805,120,0,120,2804,0
118,118,0,120,3,2806,118,0,118,2805,0
119,119,0,127,3,2807,120,0,120,2806,0
120,120,0,121,3,2808,127,0,127,2807,0
121,121,0,128,3,2809,120,0,121,2808,0
122,122,0,128,3,2810,128,-1,128,2809,0
123,123,0,119,3,2811,128,0,128,2810,0
124,124,0,118,3,2812,120,0,119,2811,0
125,125,0,123,3,2813,118,1,118,2812,0
126,126,0,127,3,2814,123,0,123,2813,0
127,127,0,120,3,2815,127,0,127,2814,0
128,128,0,113,3,2816,120,0,120,2815,0
129,129,0,122,3,2817,113,0,113,2816,0
130,130,0,122,3,2818,122,0,122,2817,0
131,131,0,112,3,2819,123,0,122,2818,0
132,132,0,114,3,2820,111,1,112,2819,0
133,133,0,126,3,2821,114,-1,114,2820,0
