Sample in Buffer,Sample in Window,TRIGGER,CLK_SEQ/ADC_IN[7:0],CLK_SEQ/trigger_threshold[3:0],CLK_SEQ/pxl_addr_next[31:0],CLK_SEQ/adc_val_prev_frame[7:0],CLK_SEQ/diff[7:0],CLK_SEQ/adc_in_buf_2[7:0],CLK_SEQ/pxl_addr[31:0],CLK_SEQ/TRIGGER_OUT
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,115,3,2964,120,-1,120,2963,0
1,1,0,123,3,2965,116,0,115,2964,0
2,2,0,113,3,2966,124,1,123,2965,0
3,3,0,115,3,2967,113,1,113,2966,0
4,4,0,116,3,2968,115,0,115,2967,0
5,5,0,129,3,2969,116,0,116,2968,0
6,6,0,124,3,2970,130,0,129,2969,0
7,7,0,113,3,2971,124,1,124,2970,0
8,8,0,111,3,2972,113,0,113,2971,0
9,9,0,111,3,2973,111,0,111,2972,0
10,10,0,118,3,2974,112,0,111,2973,0
11,11,0,127,3,2975,118,1,118,2974,0
12,12,0,124,3,2976,126,0,127,2975,0
13,13,0,113,3,2977,125,-1,124,2976,0
14,14,0,122,3,2978,114,1,113,2977,0
15,15,0,109,3,2979,123,1,122,2978,0
16,16,0,120,3,2980,109,1,109,2979,0
17,17,0,117,3,2981,121,0,120,2980,0
18,18,0,113,3,2982,117,1,117,2981,0
19,19,0,128,3,2983,113,0,113,2982,0
20,20,0,124,3,2984,129,0,128,2983,0
21,21,0,118,3,2985,125,1,124,2984,0
22,22,0,132,3,2986,118,1,118,2985,0
23,23,0,118,3,2987,132,0,132,2986,0
24,24,0,114,3,2988,118,0,118,2987,0
25,25,0,115,3,2989,114,0,114,2988,0
26,26,0,122,3,2990,116,0,115,2989,0
27,27,0,113,3,2991,123,1,122,2990,0
28,28,0,120,3,2992,113,1,113,2991,0
29,29,0,119,3,2993,120,0,120,2992,0
30,30,0,114,3,2994,119,0,119,2993,0
31,31,1,123,3,2995,114,0,114,2994,0
32,32,0,105,3,2996,123,0,123,2995,0
33,33,0,111,3,2997,105,0,105,2996,0
34,34,0,121,3,2998,111,0,111,2997,0
35,35,0,120,3,2999,121,0,121,2998,0
36,36,0,116,3,3000,120,0,120,2999,0
37,37,0,116,3,3001,116,0,116,3000,0
38,38,0,113,3,3002,117,0,116,3001,0
39,39,0,110,3,3003,114,1,113,3002,0
40,40,0,120,3,3004,111,1,110,3003,0
41,41,0,121,3,3005,120,1,120,3004,0
42,42,0,113,3,3006,121,0,121,3005,0
43,43,0,128,3,3007,113,0,113,3006,0
44,44,0,124,3,3008,128,0,128,3007,0
45,45,0,114,3,3009,124,0,124,3008,0
46,46,0,116,3,3010,114,0,114,3009,0
47,47,0,131,3,3011,116,0,116,3010,0
48,48,0,117,3,3012,131,0,131,3011,0
49,49,0,127,3,3013,117,0,117,3012,0
50,50,0,115,3,3014,127,0,127,3013,0
51,51,0,114,3,3015,115,0,115,3014,0
52,52,0,125,3,3016,114,0,114,3015,0
53,53,0,118,3,3017,125,0,125,3016,0
54,54,0,123,3,3018,118,0,118,3017,0
55,55,0,129,3,3019,123,0,123,3018,0
56,56,0,113,3,3020,129,0,129,3019,0
57,57,0,125,3,3021,113,0,113,3020,0
58,58,0,112,3,3022,126,0,125,3021,0
59,59,0,113,3,3023,112,1,112,3022,0
60,60,0,115,3,3024,113,0,113,3023,0
61,61,0,122,3,3025,115,0,115,3024,0
62,62,0,119,3,3026,122,0,122,3025,0
63,63,0,113,3,3027,119,0,119,3026,0
64,64,0,126,3,3028,113,0,113,3027,0
65,65,0,105,3,3029,127,0,126,3028,0
66,66,0,110,3,3030,105,1,105,3029,0
67,67,0,111,3,3031,110,0,110,3030,0
68,68,0,105,3,3032,111,0,111,3031,0
69,69,0,123,3,3033,105,0,105,3032,0
70,70,0,114,3,3034,124,0,123,3033,0
71,71,0,121,3,3035,115,1,114,3034,0
72,72,0,111,3,3036,121,1,121,3035,0
73,73,0,122,3,3037,111,0,111,3036,0
74,74,0,131,3,3038,123,0,122,3037,0
75,75,0,118,3,3039,132,1,131,3038,0
76,76,0,114,3,3040,118,1,118,3039,0
77,77,0,123,3,3041,115,0,114,3040,0
78,78,0,126,3,3042,123,1,123,3041,0
79,79,0,131,3,3043,127,0,126,3042,0
80,80,0,124,3,3044,132,1,131,3043,0
81,81,0,113,3,3045,124,1,124,3044,0
