Sample in Buffer,Sample in Window,TRIGGER,CLK_SEQ/ADC_IN[7:0],CLK_SEQ/trigger_threshold[3:0],CLK_SEQ/pxl_addr_next[31:0],CLK_SEQ/adc_val_prev_frame[7:0],CLK_SEQ/diff[7:0],CLK_SEQ/adc_in_buf_2[7:0],CLK_SEQ/pxl_addr[31:0],CLK_SEQ/TRIGGER_OUT
82,82,0,127,3,3046,114,0,113,3045,0
83,83,0,124,3,3047,127,1,127,3046,0
84,84,0,111,3,3048,124,0,124,3047,0
85,85,0,130,3,3049,111,0,111,3048,0
86,86,0,110,3,3050,131,0,130,3049,0
87,87,0,117,3,3051,111,1,110,3050,0
88,88,0,126,3,3052,117,1,117,3051,0
89,89,0,120,3,3053,126,0,126,3052,0
90,90,0,112,3,3054,121,0,120,3053,0
91,91,0,126,3,3055,112,1,112,3054,0
92,92,0,127,3,3056,127,0,126,3055,0
93,93,0,110,3,3057,127,1,127,3056,0
94,94,0,125,3,3058,109,0,110,3057,0
95,95,0,120,3,3059,125,-1,125,3058,0
96,96,0,110,3,3060,120,0,120,3059,0
97,97,0,118,3,3061,110,0,110,3060,0
98,98,0,123,3,3062,118,0,118,3061,0
99,99,0,121,3,3063,125,0,123,3062,0
100,100,0,104,3,3064,121,2,121,3063,0
101,101,0,107,3,3065,104,0,104,3064,0
102,102,0,116,3,3066,107,0,107,3065,0
103,103,0,115,3,3067,116,0,116,3066,0
104,104,0,120,3,3068,115,0,115,3067,0
105,105,0,118,3,3069,120,0,120,3068,0
106,106,0,127,3,3070,118,0,118,3069,0
107,107,0,113,3,3071,126,0,127,3070,0
108,108,0,118,3,3072,113,-1,113,3071,0
109,109,0,132,3,3073,117,0,118,3072,0
110,110,0,124,3,3074,132,-1,132,3073,0
111,111,0,120,3,3075,124,0,124,3074,0
112,112,0,115,3,3076,120,0,120,3075,0
113,113,0,118,3,3077,115,0,115,3076,0
114,114,0,120,3,3078,118,0,118,3077,0
115,115,0,109,3,3079,121,0,120,3078,0
116,116,0,116,3,3080,109,1,109,3079,0
117,117,0,114,3,3081,117,0,116,3080,0
118,118,0,120,3,3082,115,1,114,3081,0
119,119,0,107,3,3083,120,1,120,3082,0
120,120,0,112,3,3084,108,0,107,3083,0
121,121,0,116,3,3085,112,1,112,3084,0
122,122,0,121,3,3086,117,0,116,3085,0
123,123,0,114,3,3087,122,1,121,3086,0
124,124,0,127,3,3088,114,1,114,3087,0
125,125,0,125,3,3089,128,0,127,3088,0
126,126,0,126,3,3090,125,1,125,3089,0
127,127,0,109,3,3091,126,0,126,3090,0
128,128,0,128,3,3092,109,0,109,3091,0
129,129,0,115,3,3093,128,0,128,3092,0
130,130,0,128,3,3094,115,0,115,3093,0
131,131,0,111,3,3095,128,0,128,3094,0
132,132,0,130,3,3096,112,0,111,3095,0
133,133,0,113,3,3097,132,1,130,3096,0
134,134,0,113,3,3098,113,2,113,3097,0
135,135,0,119,3,3099,113,0,113,3098,0
136,136,0,112,3,3100,120,0,119,3099,0
137,137,0,114,3,3101,112,1,112,3100,0
138,138,0,112,3,3102,114,0,114,3101,0
139,139,0,120,3,3103,112,0,112,3102,0
140,140,0,118,3,3104,120,0,120,3103,0
141,141,0,113,3,3105,118,0,118,3104,0
142,142,0,118,3,3106,113,0,113,3105,0
143,143,0,109,3,3107,118,0,118,3106,0
144,144,0,117,3,3108,109,0,109,3107,0
145,145,0,114,3,3109,118,0,117,3108,0
146,146,0,119,3,3110,114,1,114,3109,0
147,147,0,111,3,3111,119,0,119,3110,0
148,148,0,120,3,3112,112,0,111,3111,0
149,149,0,127,3,3113,120,1,120,3112,0
150,150,0,123,3,3114,127,0,127,3113,0
151,151,0,111,3,3115,123,0,123,3114,0
152,152,0,120,3,3116,112,0,111,3115,0
153,153,0,129,3,3117,120,1,120,3116,0
154,154,0,118,3,3118,129,0,129,3117,0
155,155,0,120,3,3119,118,0,118,3118,0
156,156,0,132,3,3120,120,0,120,3119,0
157,157,0,118,3,3121,132,0,132,3120,0
158,158,0,117,3,3122,118,0,118,3121,0
159,159,0,117,3,3123,117,0,117,3122,0
160,160,0,116,3,3124,118,0,117,3123,0
161,161,0,125,3,3125,117,1,116,3124,0
162,162,0,124,3,3126,125,1,125,3125,0
163,163,0,114,3,3127,124,0,124,3126,0
164,164,0,124,3,3128,114,0,114,3127,0
165,165,0,125,3,3129,124,0,124,3128,0
166,166,0,121,3,3130,125,0,125,3129,0
167,167,0,117,3,3131,121,0,121,3130,0
168,168,0,100,3,3132,118,0,117,3131,0
169,169,0,125,3,3133,100,1,100,3132,0
170,170,0,127,3,3134,125,0,125,3133,0
171,171,0,132,3,3135,127,0,127,3134,0
172,172,0,125,3,3136,132,0,132,3135,0
173,173,0,122,3,3137,126,0,125,3136,0
174,174,0,124,3,3138,122,1,122,3137,0
175,175,0,128,3,3139,125,0,124,3138,0
176,176,0,124,3,3140,128,1,128,3139,0
177,177,0,116,3,3141,124,0,124,3140,0
178,178,0,121,3,3142,116,0,116,3141,0
179,179,0,118,3,3143,121,0,121,3142,0
180,180,0,122,3,3144,118,0,118,3143,0
181,181,0,128,3,3145,124,0,122,3144,0
182,182,0,112,3,3146,129,2,128,3145,0
183,183,0,118,3,3147,112,1,112,3146,0
184,184,0,109,3,3148,120,0,118,3147,0
185,185,0,123,3,3149,109,2,109,3148,0
186,186,0,118,3,3150,123,0,123,3149,0
187,187,0,123,3,3151,118,0,118,3150,0
188,188,0,119,3,3152,123,0,123,3151,0
189,189,0,119,3,3153,120,0,119,3152,0
190,190,0,119,3,3154,119,1,119,3153,0
191,191,0,120,3,3155,120,0,119,3154,0
192,192,0,112,3,3156,120,1,120,3155,0
193,193,0,125,3,3157,112,0,112,3156,0
194,194,0,119,3,3158,125,0,125,3157,0
195,195,0,129,3,3159,119,0,119,3158,0
196,196,0,126,3,3160,129,0,129,3159,0
197,197,0,111,3,3161,126,0,126,3160,0
198,198,0,123,3,3162,111,0,111,3161,0
199,199,0,118,3,3163,123,0,123,3162,0
200,200,0,122,3,3164,118,0,118,3163,0
201,201,0,109,3,3165,122,0,122,3164,0
202,202,0,113,3,3166,110,0,109,3165,0
203,203,0,116,3,3167,114,1,113,3166,0
204,204,0,126,3,3168,116,1,116,3167,0
205,205,0,116,3,3169,126,0,126,3168,0
206,206,0,121,3,3170,117,0,116,3169,0
207,207,0,123,3,3171,121,1,121,3170,0
208,208,0,136,3,3172,123,0,123,3171,0
209,209,0,115,3,3173,136,0,136,3172,0
210,210,0,115,3,3174,115,0,115,3173,0
211,211,0,115,3,3175,115,0,115,3174,0
212,212,0,122,3,3176,116,0,115,3175,0
213,213,0,121,3,3177,122,1,122,3176,0
214,214,0,118,3,3178,121,0,121,3177,0
215,215,0,112,3,3179,119,0,118,3178,0
216,216,0,113,3,3180,112,1,112,3179,0
217,217,0,130,3,3181,113,0,113,3180,0
218,218,0,116,3,3182,130,0,130,3181,0
219,219,0,105,3,3183,116,0,116,3182,0
220,220,0,128,3,3184,105,0,105,3183,0
221,221,0,116,3,3185,128,0,128,3184,0
222,222,0,123,3,3186,117,0,116,3185,0
223,223,0,119,3,3187,124,1,123,3186,0
224,224,0,122,3,3188,120,1,119,3187,0
225,225,0,118,3,3189,124,1,122,3188,0
226,226,0,117,3,3190,119,2,118,3189,0
227,227,0,121,3,3191,117,1,117,3190,0
228,228,0,122,3,3192,121,0,121,3191,0
229,229,0,115,3,3193,122,0,122,3192,0
230,230,0,117,3,3194,115,0,115,3193,0
231,231,0,124,3,3195,118,0,117,3194,0
232,232,0,112,3,3196,125,1,124,3195,0
233,233,0,117,3,3197,112,1,112,3196,0
234,234,0,118,3,3198,117,0,117,3197,0
235,235,0,118,3,3199,118,0,118,3198,0
236,236,0,122,3,3200,117,0,118,3199,0
237,237,0,116,3,3201,122,-1,122,3200,0
238,238,0,123,3,3202,116,0,116,3201,0
239,239,0,126,3,3203,123,0,123,3202,0
240,240,0,124,3,3204,126,0,126,3203,0
241,241,0,119,3,3205,124,0,124,3204,0
242,242,0,115,3,3206,119,0,119,3205,0
243,243,0,122,3,3207,115,0,115,3206,0
244,244,0,128,3,3208,122,0,122,3207,0
245,245,0,114,3,3209,128,0,128,3208,0
246,246,0,126,3,3210,114,0,114,3209,0
247,247,0,120,3,3211,126,0,126,3210,0
248,248,0,117,3,3212,121,0,120,3211,0
249,249,0,121,3,3213,117,1,117,3212,0
250,250,0,129,3,3214,122,0,121,3213,0
251,251,0,125,3,3215,129,1,129,3214,0
252,252,0,133,3,3216,125,0,125,3215,0
253,253,0,118,3,3217,134,0,133,3216,0
254,254,0,123,3,3218,119,1,118,3217,0
255,255,0,121,3,3219,125,1,123,3218,0
256,256,0,114,3,3220,121,2,121,3219,0
257,257,0,119,3,3221,115,0,114,3220,0
258,258,0,105,3,3222,120,1,119,3221,0
259,259,0,116,3,3223,106,1,105,3222,0
260,260,0,127,3,3224,116,1,116,3223,0
261,261,0,121,3,3225,127,0,127,3224,0
262,262,0,121,3,3226,121,0,121,3225,0
263,263,0,115,3,3227,121,0,121,3226,0
264,264,0,128,3,3228,115,0,115,3227,0
265,265,0,122,3,3229,129,0,128,3228,0
266,266,0,125,3,3230,123,1,122,3229,0
267,267,0,118,3,3231,125,1,125,3230,0
268,268,0,118,3,3232,118,0,118,3231,0
269,269,0,122,3,3233,119,0,118,3232,0
270,270,0,120,3,3234,122,1,122,3233,0
271,271,0,104,3,3235,121,0,120,3234,0
272,272,0,128,3,3236,104,1,104,3235,0
273,273,0,121,3,3237,128,0,128,3236,0
274,274,0,120,3,3238,121,0,121,3237,0
275,275,0,119,3,3239,120,0,120,3238,0
276,276,0,124,3,3240,119,0,119,3239,0
277,277,0,115,3,3241,124,0,124,3240,0
278,278,0,117,3,3242,115,0,115,3241,0
279,279,0,121,3,3243,118,0,117,3242,0
280,280,0,125,3,3244,121,1,121,3243,0
281,281,0,118,3,3245,125,0,125,3244,0
282,282,0,120,3,3246,119,0,118,3245,0
283,283,0,123,3,3247,120,1,120,3246,0
284,284,0,121,3,3248,124,0,123,3247,0
285,285,0,127,3,3249,121,1,121,3248,0
286,286,0,118,3,3250,127,0,127,3249,0
287,287,0,113,3,3251,118,0,118,3250,0
288,288,0,121,3,3252,114,0,113,3251,0
289,289,0,130,3,3253,120,1,121,3252,0
290,290,0,127,3,3254,131,-1,130,3253,0
291,291,0,117,3,3255,127,1,127,3254,0
292,292,0,117,3,3256,117,0,117,3255,0
293,293,0,119,3,3257,118,0,117,3256,0
294,294,0,103,3,3258,119,1,119,3257,0
295,295,0,122,3,3259,103,0,103,3258,0
296,296,0,122,3,3260,122,0,122,3259,0
297,297,0,121,3,3261,123,0,122,3260,0
298,298,0,123,3,3262,121,1,121,3261,0
299,299,0,123,3,3263,123,0,123,3262,0
300,300,0,116,3,3264,123,0,123,3263,0
301,301,0,114,3,3265,116,0,116,3264,0
302,302,0,126,3,3266,114,0,114,3265,0
303,303,0,116,3,3267,127,0,126,3266,0
304,304,0,114,3,3268,115,1,116,3267,0
305,305,0,115,3,3269,114,-1,114,3268,0
306,306,0,116,3,3270,115,0,115,3269,0
307,307,0,118,3,3271,117,0,116,3270,0
308,308,0,116,3,3272,118,1,118,3271,0
309,309,0,116,3,3273,116,0,116,3272,0
310,310,0,117,3,3274,117,0,116,3273,0
311,311,0,125,3,3275,117,1,117,3274,0
312,312,0,120,3,3276,125,0,125,3275,0
313,313,0,107,3,3277,122,0,120,3276,0
314,314,0,115,3,3278,107,2,107,3277,0
315,315,0,120,3,3279,116,0,115,3278,0
316,316,0,125,3,3280,120,1,120,3279,0
317,317,0,122,3,3281,126,0,125,3280,0
318,318,0,121,3,3282,122,1,122,3281,0
319,319,0,125,3,3283,121,0,121,3282,0
320,320,0,127,3,3284,125,0,125,3283,0
321,321,0,120,3,3285,126,0,127,3284,0
322,322,0,123,3,3286,121,-1,120,3285,0
323,323,0,111,3,3287,124,1,123,3286,0
324,324,0,121,3,3288,111,1,111,3287,0
325,325,0,134,3,3289,121,0,121,3288,0
326,326,0,126,3,3290,134,0,134,3289,0
327,327,0,118,3,3291,127,0,126,3290,0
328,328,0,129,3,3292,118,1,118,3291,0
329,329,0,116,3,3293,129,0,129,3292,0
330,330,0,128,3,3294,116,0,116,3293,0
331,331,0,117,3,3295,128,0,128,3294,0
332,332,0,118,3,3296,117,0,117,3295,0
333,333,0,114,3,3297,118,0,118,3296,0
334,334,0,132,3,3298,115,0,114,3297,0
335,335,0,116,3,3299,132,1,132,3298,0
336,336,0,111,3,3300,116,0,116,3299,0
337,337,0,121,3,3301,112,0,111,3300,0
338,338,0,133,3,3302,121,1,121,3301,0
339,339,0,121,3,3303,133,0,133,3302,0
340,340,0,115,3,3304,121,0,121,3303,0
341,341,0,119,3,3305,115,0,115,3304,0
342,342,0,117,3,3306,119,0,119,3305,0
343,343,0,125,3,3307,117,0,117,3306,0
344,344,0,124,3,3308,125,0,125,3307,0
345,345,0,112,3,3309,124,0,124,3308,0
346,346,0,126,3,3310,112,0,112,3309,0
347,347,0,122,3,3311,126,0,126,3310,0
348,348,0,110,3,3312,122,0,122,3311,0
349,349,0,107,3,3313,110,0,110,3312,0
350,350,0,119,3,3314,107,0,107,3313,0
351,351,0,122,3,3315,118,0,119,3314,0
352,352,0,131,3,3316,122,-1,122,3315,0
353,353,0,124,3,3317,131,0,131,3316,0
354,354,0,121,3,3318,124,0,124,3317,0
355,355,0,124,3,3319,121,0,121,3318,0
356,356,0,114,3,3320,124,0,124,3319,0
357,357,0,127,3,3321,114,0,114,3320,0
358,358,0,127,3,3322,128,0,127,3321,0
359,359,0,104,3,3323,127,1,127,3322,0
360,360,0,109,3,3324,104,0,104,3323,0
361,361,0,113,3,3325,109,0,109,3324,0
362,362,0,120,3,3326,113,0,113,3325,0
363,363,0,120,3,3327,121,0,120,3326,0
364,364,0,109,3,3328,120,1,120,3327,0
365,365,0,110,3,3329,109,0,109,3328,0
366,366,0,125,3,3330,110,0,110,3329,0
367,367,0,134,3,3331,125,0,125,3330,0
368,368,0,124,3,3332,134,0,134,3331,0
369,369,0,120,3,3333,124,0,124,3332,0
370,370,0,123,3,3334,121,0,120,3333,0
371,371,0,110,3,3335,123,1,123,3334,0
372,372,0,110,3,3336,111,0,110,3335,0
373,373,0,121,3,3337,110,1,110,3336,0
374,374,0,126,3,3338,121,0,121,3337,0
375,375,0,120,3,3339,127,0,126,3338,0
376,376,0,119,3,3340,121,1,120,3339,0
377,377,0,118,3,3341,119,1,119,3340,0
378,378,0,118,3,3342,119,0,118,3341,0
379,379,0,121,3,3343,119,1,118,3342,0
380,380,0,116,3,3344,122,1,121,3343,0
381,381,0,119,3,3345,116,1,116,3344,0
382,382,0,123,3,3346,120,0,119,3345,0
383,383,0,120,3,3347,123,1,123,3346,0
384,384,0,117,3,3348,121,0,120,3347,0
385,385,0,111,3,3349,117,1,117,3348,0
386,386,0,123,3,3350,111,0,111,3349,0
387,387,0,130,3,3351,123,0,123,3350,0
388,388,0,127,3,3352,131,0,130,3351,0
389,389,0,125,3,3353,127,1,127,3352,0
390,390,0,118,3,3354,125,0,125,3353,0
391,391,0,121,3,3355,118,0,118,3354,0
392,392,0,119,3,3356,121,0,121,3355,0
393,393,0,129,3,3357,119,0,119,3356,0
394,394,0,120,3,3358,130,0,129,3357,0
395,395,0,115,3,3359,120,1,120,3358,0
396,396,0,122,3,3360,115,0,115,3359,0
397,397,0,130,3,3361,124,0,122,3360,0
398,398,0,109,3,3362,130,2,130,3361,0
399,399,0,115,3,3363,109,0,109,3362,0
400,400,0,123,3,3364,115,0,115,3363,0
401,401,0,123,3,3365,124,0,123,3364,0
402,402,0,117,3,3366,123,1,123,3365,0
403,403,0,120,3,3367,117,0,117,3366,0
404,404,0,119,3,3368,120,0,120,3367,0
405,405,0,119,3,3369,119,0,119,3368,0
406,406,0,125,3,3370,118,0,119,3369,0
407,407,0,122,3,3371,125,-1,125,3370,0
408,408,0,124,3,3372,122,0,122,3371,0
409,409,0,105,3,3373,124,0,124,3372,0
410,410,0,117,3,3374,104,0,105,3373,0
411,411,0,117,3,3375,117,-1,117,3374,0
412,412,0,113,3,3376,118,0,117,3375,0
413,413,0,107,3,3377,114,1,113,3376,0
414,414,0,117,3,3378,107,1,107,3377,0
415,415,0,121,3,3379,117,0,117,3378,0
416,416,0,115,3,3380,121,0,121,3379,0
417,417,0,116,3,3381,115,0,115,3380,0
418,418,0,128,3,3382,116,0,116,3381,0
419,419,0,122,3,3383,128,0,128,3382,0
420,420,0,134,3,3384,122,0,122,3383,0
421,421,0,123,3,3385,135,0,134,3384,0
422,422,0,103,3,3386,123,1,123,3385,0
423,423,0,115,3,3387,103,0,103,3386,0
424,424,0,122,3,3388,115,0,115,3387,0
425,425,0,126,3,3389,122,0,122,3388,0
426,426,0,112,3,3390,126,0,126,3389,0
427,427,0,135,3,3391,112,0,112,3390,0
428,428,0,118,3,3392,135,0,135,3391,0
429,429,0,121,3,3393,118,0,118,3392,0
430,430,0,119,3,3394,121,0,121,3393,0
431,431,0,124,3,3395,119,0,119,3394,0
432,432,0,128,3,3396,124,0,124,3395,0
433,433,0,116,3,3397,128,0,128,3396,0
434,434,0,130,3,3398,116,0,116,3397,0
435,435,0,99,3,3399,130,0,130,3398,0
436,436,0,117,3,3400,99,0,99,3399,0
437,437,0,132,3,3401,117,0,117,3400,0
438,438,0,120,3,3402,132,0,132,3401,0
439,439,0,121,3,3403,121,0,120,3402,0
440,440,0,128,3,3404,121,1,121,3403,0
441,441,0,117,3,3405,129,0,128,3404,0
442,442,0,118,3,3406,117,1,117,3405,0
443,443,0,119,3,3407,118,0,118,3406,0
444,444,0,118,3,3408,119,0,119,3407,0
445,445,0,117,3,3409,118,0,118,3408,0
446,446,0,131,3,3410,118,0,117,3409,0
447,447,0,105,3,3411,131,1,131,3410,0
448,448,0,128,3,3412,105,0,105,3411,0
449,449,0,113,3,3413,129,0,128,3412,0
450,450,0,124,3,3414,114,1,113,3413,0
451,451,0,122,3,3415,125,1,124,3414,0
452,452,0,125,3,3416,122,1,122,3415,0
453,453,0,127,3,3417,125,0,125,3416,0
454,454,0,118,3,3418,127,0,127,3417,0
455,455,0,131,3,3419,118,0,118,3418,0
456,456,0,125,3,3420,131,0,131,3419,0
457,457,0,123,3,3421,125,0,125,3420,0
458,458,0,119,3,3422,123,0,123,3421,0
459,459,0,129,3,3423,119,0,119,3422,0
460,460,0,124,3,3424,130,0,129,3423,0
461,461,0,124,3,3425,124,1,124,3424,0
462,462,0,126,3,3426,125,0,124,3425,0
463,463,0,117,3,3427,126,1,126,3426,0
464,464,0,127,3,3428,117,0,117,3427,0
465,465,0,124,3,3429,128,0,127,3428,0
466,466,0,128,3,3430,125,1,124,3429,0
467,467,0,114,3,3431,128,1,128,3430,0
468,468,0,127,3,3432,115,0,114,3431,0
469,469,0,128,3,3433,127,1,127,3432,0
470,470,0,120,3,3434,128,0,128,3433,0
471,471,0,118,3,3435,120,0,120,3434,0
472,472,0,129,3,3436,118,0,118,3435,0
473,473,0,121,3,3437,130,0,129,3436,0
474,474,0,128,3,3438,121,1,121,3437,0
475,475,0,123,3,3439,128,0,128,3438,0
476,476,0,126,3,3440,123,0,123,3439,0
477,477,0,127,3,3441,126,0,126,3440,0
478,478,0,123,3,3442,127,0,127,3441,0
479,479,0,125,3,3443,123,0,123,3442,0
480,480,0,122,3,3444,125,0,125,3443,0
481,481,0,123,3,3445,122,0,122,3444,0
482,482,0,128,3,3446,124,0,123,3445,0
483,483,0,120,3,3447,128,1,128,3446,0
484,484,0,127,3,3448,120,0,120,3447,0
485,485,0,108,3,3449,128,0,127,3448,0
486,486,0,118,3,3450,108,1,108,3449,0
487,487,0,126,3,3451,118,0,118,3450,0
488,488,0,128,3,3452,126,0,126,3451,0
489,489,0,129,3,3453,128,0,128,3452,0
490,490,0,123,3,3454,130,0,129,3453,0
491,491,0,120,3,3455,124,1,123,3454,0
492,492,0,128,3,3456,119,1,120,3455,0
493,493,0,127,3,3457,128,-1,128,3456,0
494,494,0,128,3,3458,127,0,127,3457,0
495,495,0,115,3,3459,128,0,128,3458,0
496,496,0,116,3,3460,116,0,115,3459,0
497,497,0,114,3,3461,115,1,116,3460,0
498,498,0,118,3,3462,114,-1,114,3461,0
499,499,0,115,3,3463,118,0,118,3462,0
500,500,0,108,3,3464,115,0,115,3463,0
501,501,0,128,3,3465,108,0,108,3464,0
502,502,0,130,3,3466,129,0,128,3465,0
503,503,0,118,3,3467,130,1,130,3466,0
504,504,0,125,3,3468,118,0,118,3467,0
505,505,0,121,3,3469,126,0,125,3468,0
506,506,0,111,3,3470,122,1,121,3469,0
507,507,0,113,3,3471,110,1,111,3470,0
508,508,0,128,3,3472,113,-1,113,3471,0
509,509,0,120,3,3473,128,0,128,3472,0
510,510,0,121,3,3474,121,0,120,3473,0
511,511,0,127,3,3475,121,1,121,3474,0
512,512,0,121,3,3476,128,0,127,3475,0
513,513,0,129,3,3477,121,1,121,3476,0
514,514,0,113,3,3478,130,0,129,3477,0
515,515,0,126,3,3479,114,1,113,3478,0
516,516,0,116,3,3480,127,1,126,3479,0
517,517,0,118,3,3481,116,1,116,3480,0
518,518,0,128,3,3482,118,0,118,3481,0
519,519,0,122,3,3483,129,0,128,3482,0
520,520,0,126,3,3484,123,1,122,3483,0
521,521,0,118,3,3485,126,1,126,3484,0
522,522,0,108,3,3486,118,0,118,3485,0
523,523,0,113,3,3487,108,0,108,3486,0
524,524,0,112,3,3488,113,0,113,3487,0
525,525,0,127,3,3489,112,0,112,3488,0
526,526,0,114,3,3490,128,0,127,3489,0
527,527,0,130,3,3491,114,1,114,3490,0
528,528,0,117,3,3492,131,0,130,3491,0
529,529,0,123,3,3493,117,1,117,3492,0
530,530,0,128,3,3494,123,0,123,3493,0
531,531,0,125,3,3495,128,0,128,3494,0
532,532,0,135,3,3496,125,0,125,3495,0
533,533,0,127,3,3497,136,0,135,3496,0
534,534,0,131,3,3498,127,1,127,3497,0
535,535,0,127,3,3499,132,0,131,3498,0
536,536,0,126,3,3500,127,1,127,3499,0
537,537,0,116,3,3501,126,0,126,3500,0
538,538,0,118,3,3502,116,0,116,3501,0
539,539,0,125,3,3503,118,0,118,3502,0
540,540,0,120,3,3504,125,0,125,3503,0
541,541,0,119,3,3505,120,0,120,3504,0
542,542,0,119,3,3506,120,0,119,3505,0
543,543,0,125,3,3507,119,1,119,3506,0
544,544,0,108,3,3508,125,0,125,3507,0
545,545,0,128,3,3509,108,0,108,3508,0
546,546,0,114,3,3510,129,0,128,3509,0
547,547,0,132,3,3511,114,1,114,3510,0
548,548,0,132,3,3512,132,0,132,3511,0
549,549,0,118,3,3513,134,0,132,3512,0
550,550,0,116,3,3514,118,2,118,3513,0
551,551,0,125,3,3515,117,0,116,3514,0
552,552,0,126,3,3516,125,1,125,3515,0
553,553,0,136,3,3517,126,0,126,3516,0
554,554,0,124,3,3518,137,0,136,3517,0
555,555,0,118,3,3519,125,1,124,3518,0
556,556,0,119,3,3520,118,1,118,3519,0
557,557,0,112,3,3521,119,0,119,3520,0
558,558,0,132,3,3522,113,0,112,3521,0
559,559,0,128,3,3523,132,1,132,3522,0
560,560,0,125,3,3524,128,0,128,3523,0
561,561,0,125,3,3525,126,0,125,3524,0
562,562,0,116,3,3526,125,1,125,3525,0
