Sample in Buffer,Sample in Window,TRIGGER,CLK_SEQ/ADC_IN[7:0],CLK_SEQ/trigger_threshold[3:0],CLK_SEQ/pxl_addr_next[31:0],CLK_SEQ/adc_val_prev_frame[7:0],CLK_SEQ/diff[7:0],CLK_SEQ/adc_in_buf_2[7:0],CLK_SEQ/pxl_addr[31:0],CLK_SEQ/TRIGGER_OUT
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,120,3,6398,119,0,118,6397,0
1,1,0,123,3,6399,120,1,120,6398,0
2,2,0,111,3,6400,123,0,123,6399,0
3,3,0,121,3,6401,112,0,111,6400,0
4,4,0,112,3,6402,121,1,121,6401,0
5,5,0,116,3,6403,112,0,112,6402,0
6,6,0,118,3,6404,116,0,116,6403,0
7,7,0,122,3,6405,118,0,118,6404,0
8,8,0,111,3,6406,122,0,122,6405,0
9,9,0,111,3,6407,111,0,111,6406,0
10,10,0,117,3,6408,112,0,111,6407,0
11,11,0,130,3,6409,117,1,117,6408,0
12,12,0,120,3,6410,130,0,130,6409,0
13,13,0,120,3,6411,121,0,120,6410,0
14,14,0,116,3,6412,120,1,120,6411,0
15,15,0,121,3,6413,116,0,116,6412,0
16,16,0,112,3,6414,121,0,121,6413,0
17,17,0,122,3,6415,112,0,112,6414,0
18,18,0,119,3,6416,122,0,122,6415,0
19,19,0,114,3,6417,119,0,119,6416,0
20,20,0,124,3,6418,114,0,114,6417,0
21,21,0,120,3,6419,124,0,124,6418,0
22,22,0,133,3,6420,120,0,120,6419,0
23,23,0,117,3,6421,133,0,133,6420,0
24,24,0,124,3,6422,118,0,117,6421,0
25,25,0,111,3,6423,124,1,124,6422,0
26,26,0,124,3,6424,111,0,111,6423,0
27,27,0,132,3,6425,124,0,124,6424,0
28,28,0,112,3,6426,131,0,132,6425,0
29,29,0,127,3,6427,112,-1,112,6426,0
30,30,0,126,3,6428,127,0,127,6427,0
